0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Triangle of Sadness,2022,R,18 Sep 2022,147 min,"Comedy, Drama",Ruben Östlund,Ruben Östlund,"Thobias Thorwid, Harris Dickinson, Charlbi Dean",A fashion model celebrity couple join an eventful cruise for the super-rich.,"English, Swedish, German, French, Greek, Tagalog, Akan","United Kingdom, Sweden, Germany, Mexico, France, Turkey, Denmark, United States, Switzerland, Greece",Nominated for 3 Oscars. 25 wins & 83 nominations total,https://m.media-amazon.com/images/M/MV5BYTViNzUyNDUtZTg3Yy00OTY4LWEyMTYtMmUzYjE3ZmZjYzUwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63,7.3,"201,623",tt7322224,movie,N/A,"$4,608,096",N/A,N/A,True
10 Days in a Madhouse,2015,R,11 Nov 2015,111 min,"Drama, History",Timothy Hines,Timothy Hines,"Caroline Barry, Christopher Lambert, Kelly LeBrock","In 1887, 23-year-old reporter Nellie Bly, working for Joseph Pulitzer, feigns mental illness to go undercover in notorious Blackwell's Island, a mental institution for women, to expose corruption, abuse, and murder.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOTI3MDU4ODc2OF5BMl5BanBnXkFtZTgwNzYwMjY1NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,"2,871",tt3453052,movie,N/A,"$14,616",N/A,N/A,True
Heaven Is for Real,2014,PG,16 Apr 2014,99 min,"Biography, Drama, Family",Randall Wallace,"Randall Wallace, Chris Parker, Todd Burpo","Greg Kinnear, Kelly Reilly, Thomas Haden Church","A small-town father must find the courage and conviction to share his son's extraordinary, life-changing experience with the world.",English,"United States, Canada",1 win & 5 nominations total,https://m.media-amazon.com/images/M/MV5BNjc3MzYzMTUzNF5BMl5BanBnXkFtZTgwNTYzNzI2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,5.9,"29,116",tt1929263,movie,N/A,"$91,443,253",N/A,N/A,True
Snatch,2000,R,19 Jan 2001,102 min,"Comedy, Crime",Guy Ritchie,Guy Ritchie,"Jason Statham, Brad Pitt, Stephen Graham","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.","English, Russian","United Kingdom, United States",4 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BYzk5NjJkMTQtN2IyNC00YWM5LTlhZmMtNGI3MWNhMTU1YTc4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,8.2,"946,217",tt0208092,movie,N/A,"$30,328,156",N/A,N/A,True
Dancin': It's on!,2015,PG,30 Oct 2015,89 min,"Family, Musical, Romance",David Winters,"David Winters, David A. Prior","Witney Carson, Gary Daniels, Ava Fabian",Two young dancers fall in love and eventually work together to win a dance competition.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTgzNDE2MjYxOF5BMl5BanBnXkFtZTgwMzY2NDAyNzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '2.5/10'}]",N/A,2.5,"1,174",tt2598580,movie,N/A,N/A,N/A,N/A,True
Pet Sematary,1989,R,21 Apr 1989,103 min,"Fantasy, Horror, Thriller",Mary Lambert,Stephen King,"Dale Midkiff, Denise Crosby, Fred Gwynne","After tragedy strikes, a grieving father discovers an ancient burial ground behind his home with the power to raise the dead.",English,United States,1 win & 6 nominations total,https://m.media-amazon.com/images/M/MV5BZTEyYWIyZWYtMTM5OC00M2ZmLWI5NzMtZjA0ZTI4MTQ4ZDZkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",38,6.5,"119,339",tt0098084,movie,N/A,"$57,469,467",N/A,N/A,True
Madadayo,1993,N/A,17 Apr 1993,134 min,Drama,"Akira Kurosawa, Ishirô Honda","Ishirô Honda, Akira Kurosawa, Hyakken Uchida","Tatsuo Matsumura, Hisashi Igawa, George Tokoro","Following World War II, a retired professor approaching his autumn years finds his quality of life drastically reduced in war-torn Tokyo. Denying despair, he pursues writing and celebrates his birthday with his adoring students.","Japanese, English",Japan,6 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BNDFhNTE4MmQtNzFjZi00MDEwLWIyMzktYTc0MDZmYjA5M2QwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",79,7.3,"6,317",tt0107474,movie,N/A,N/A,N/A,N/A,True
The Cry of the Owl,2009,R,19 Aug 2009,100 min,"Drama, Mystery, Thriller",Jamie Thraves,"Jamie Thraves, Patricia Highsmith","Paddy Considine, Julia Stiles, Karl Pruner","A troubled young man retreats from the big city and his ex-wife for the tranquility of a small town. He is drawn into a relationship with a young woman whose boyfriend goes missing, leaving the new arrival as a suspect.",English,"Canada, Germany, France, United Kingdom, United States",N/A,https://m.media-amazon.com/images/M/MV5BZmUyMjkwZjItYWNmZi00ZGI4LWE0OGQtZWFiZjA5ODFiMmE5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}]",N/A,5.9,"5,343",tt1034302,movie,N/A,N/A,N/A,N/A,True
A Tale of Three Cities,2015,N/A,28 Aug 2015,130 min,"Drama, Romance",Mabel Cheung,"Mabel Cheung, Alex Law","Ching Wan Lau, Tang Wei, Hailu Qin","A Hong Kong war romantic film set in World War II based on the real-life story of Jackie Chan's parents, Charles and Lee-Lee Chan.",Mandarin,China,1 win & 5 nominations,https://m.media-amazon.com/images/M/MV5BMDExZjhiYzgtYjQ4ZC00MjZmLTk4MDEtNzc0ZWVmMGNiNDExXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}]",N/A,6.0,307,tt3682770,movie,N/A,N/A,N/A,N/A,True
Gremlins,1984,PG,08 Jun 1984,106 min,"Comedy, Fantasy, Horror",Joe Dante,Chris Columbus,"Zach Galligan, Phoebe Cates, Hoyt Axton","After receiving an exotic small animal as a Christmas gift, a young man inadvertently breaks three important rules concerning his new pet, which unleashes a horde of malevolently mischievous creatures on a small town.","English, Spanish",United States,8 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BYmMzMmIxNzYtYjk3OS00NjBiLTkxNDQtODU3ZDNjN2RiMTIxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",70,7.3,"261,919",tt0087363,movie,N/A,"$153,642,180",N/A,N/A,True
Star Wars: Episode IV - A New Hope,1977,PG,25 May 1977,121 min,"Action, Adventure, Fantasy",George Lucas,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth ...",English,United States,Won 6 Oscars. 69 wins & 30 nominations total,https://m.media-amazon.com/images/M/MV5BOGUwMDk0Y2MtNjBlNi00NmRiLTk2MWYtMGMyMDlhYmI4ZDBjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '90/100'}]",90,8.6,"1,506,354",tt0076759,movie,N/A,"$460,998,507",N/A,N/A,True
Dirty Grandpa,2016,R,22 Jan 2016,102 min,Comedy,Dan Mazer,John Phillips,"Robert De Niro, Zac Efron, Zoey Deutch","Right before his wedding, an uptight corporate lawyer is tricked into driving his grandfather, a lecherous former Army Lieutenant Colonel, to Florida for Spring Break.",English,"United States, United Kingdom",2 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BMzk0NzkyNDk2M15BMl5BanBnXkFtZTgwNDczOTU3NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '10%'}, {'Source': 'Metacritic', 'Value': '21/100'}]",21,5.9,"136,661",tt1860213,movie,N/A,"$35,593,113",N/A,N/A,True
Doctor Zhivago,1965,Approved,31 Dec 1965,197 min,"Drama, Romance, War",David Lean,"Boris Pasternak, Robert Bolt","Omar Sharif, Julie Christie, Geraldine Chaplin","The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.","English, Russian, French","Italy, United Kingdom, United States",Won 5 Oscars. 21 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BNWQyZGNmZWItNjc0OS00M2YyLWJkZmYtZWNlNDE2MzMwYzUzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,7.9,"83,731",tt0059113,movie,N/A,"$111,721,910",N/A,N/A,True
Trash,2014,R,09 Oct 2015,114 min,"Adventure, Crime, Drama","Stephen Daldry, Christian Duurvoort","Andy Mulligan, Felipe Braga, Richard Curtis","Rickson Tevez, Gabriel Weinstein, Martin Sheen","Set in Brazil, three kids who make a discovery in a garbage dump soon find themselves running from the cops and trying to right a terrible wrong.","Portuguese, English","United Kingdom, Brazil, Germany",Nominated for 1 BAFTA Award2 wins & 10 nominations total,https://m.media-amazon.com/images/M/MV5BMTEyNDY2Njc1NzheQTJeQWpwZ15BbWU4MDc1NzY2NjYx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50,7.1,"23,141",tt1921149,movie,N/A,"$17,484",N/A,N/A,True
High School Musical 3: Senior Year,2008,G,24 Oct 2008,112 min,"Comedy, Drama, Family",Kenny Ortega,Peter Barsocchini,"Zac Efron, Vanessa Hudgens, Ashley Tisdale","As seniors in high school, Troy and Gabriella struggle with the idea of being separated from one another as college approaches. Along with the rest of the Wildcats, they stage a spring musical to address their experiences, hopes a...",English,United States,8 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BNDE1NjU2NTMyNV5BMl5BanBnXkFtZTcwMTg3NDA3MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,5.0,"70,077",tt0962726,movie,N/A,"$90,559,416",N/A,N/A,True
The Fighter,2010,R,17 Dec 2010,116 min,"Action, Biography, Drama",David O. Russell,"Keith Dorrington, Paul Tamasy, Eric Johnson","Mark Wahlberg, Christian Bale, Amy Adams","Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.",English,United States,Won 2 Oscars. 74 wins & 123 nominations total,https://m.media-amazon.com/images/M/MV5BMTM0ODk3MjM1MV5BMl5BanBnXkFtZTcwNzc1MDIwNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",79,7.8,"397,651",tt0964517,movie,N/A,"$93,617,009",N/A,N/A,True
Jackass Number Two,2006,R,22 Sep 2006,92 min,"Documentary, Action, Comedy",Jeff Tremaine,"Jeff Tremaine, Johnny Knoxville, Bam Margera","Johnny Knoxville, Steve-O, Chris Pontius","Chris Pontius, Johnny Knoxville, Steve-O, Bam Margera, and the whole crew return to the screen to raise the stakes higher than ever before.",English,United States,1 nomination total,https://m.media-amazon.com/images/M/MV5BNzgzNDYyOTcxNl5BMl5BanBnXkFtZTcwODczNzUzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,7.0,"81,389",tt0493430,movie,N/A,"$72,778,712",N/A,N/A,True
My Cousin Vinny,1992,R,13 Mar 1992,120 min,"Comedy, Crime",Jonathan Lynn,Dale Launer,"Joe Pesci, Marisa Tomei, Ralph Macchio","Two New Yorkers accused of murder in rural Alabama while on their way back to college call in the help of one of their cousins, a loudmouth lawyer with no trial experience.",English,United States,Won 1 Oscar. 5 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMTQxNDYzMTg1M15BMl5BanBnXkFtZTgwNzk4MDgxMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,7.6,"149,828",tt0104952,movie,N/A,"$52,929,168",N/A,N/A,True
If I Stay,2014,PG-13,22 Aug 2014,107 min,"Drama, Fantasy, Music",R.J. Cutler,"Shauna Cross, Gayle Forman","Chloë Grace Moretz, Mireille Enos, Jamie Blackley","Life changes in an instant for young Mia Hall after a car accident puts her in a coma. During an out-of-body experience, she must decide whether to wake up and live a life far different than she had imagined. The choice is hers if...",English,United States,3 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BZWVkNWM4M2ItMzU0Ni00ODI1LThmMDktNTAwMTI3YzBmMWRjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46,6.7,"129,888",tt1355630,movie,N/A,"$50,474,843",N/A,N/A,True
Drive Hard,2014,Not Rated,03 Oct 2014,92 min,"Action, Comedy, Crime",Brian Trenchard-Smith,"Chad Law, Evan Law, Brigitte Jean Allen","John Cusack, Thomas Jane, Zoe Ventoura",A former race car driver is abducted by a mysterious thief and forced to be the wheel-man for a crime that puts them both in the sights of the cops and the mob.,English,Canada,N/A,https://m.media-amazon.com/images/M/MV5BMTczMjc0ODQwNV5BMl5BanBnXkFtZTgwNzAzODU0MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '9%'}, {'Source': 'Metacritic', 'Value': '29/100'}]",29,4.4,"4,971",tt2968804,movie,N/A,N/A,N/A,N/A,True
Major League,1989,R,07 Apr 1989,107 min,"Comedy, Sport",David S. Ward,David S. Ward,"Tom Berenger, Charlie Sheen, Corbin Bernsen","The new owner of the Cleveland Indians puts together a purposely horrible team so they'll lose and she can move the team. But when the plot is uncovered, they start winning just to spite her.","English, Spanish, Japanese",United States,1 nomination total,https://m.media-amazon.com/images/M/MV5BMmRiNjc2YWMtYzg4YS00Njg3LTg4YzgtNWVhM2RmMGIwNGFjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62,7.2,"78,635",tt0097815,movie,N/A,"$49,797,148",N/A,N/A,True
St. Trinian's,2007,PG-13,21 Dec 2007,97 min,"Comedy, Family","Oliver Parker, Barnaby Thompson","Piers Ashworth, Jamie Minoprio, Nick Moorcroft","Talulah Riley, Rupert Everett, Gemma Arterton","In order to save their bankrupt school, a group of troublesome girls stage a robbery with a group of geniuses on their backs",English,United Kingdom,5 nominations total,https://m.media-amazon.com/images/M/MV5BMTg5MjIwMzgwNF5BMl5BanBnXkFtZTcwOTg3NzI3Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",39,5.8,"24,075",tt0964587,movie,N/A,N/A,N/A,N/A,True
