Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Space Dogs,2010,G,26 Jul 2013,85 min,"Animation, Adventure, Comedy","Inna Evlannikova, Svyatoslav Ushakov","John Chua, Alexander Talal, Vadim Sveshnikov","Anna Bolshova, Elena Yakovleva, Evgeniy Mironov",Schoolbooks say that Belka and Strelka were first space dogs. But the dogs say that people dissemble a lot.,Russian,Russia,1 win,https://m.media-amazon.com/images/M/MV5BMjYwMTIxODA2NF5BMl5BanBnXkFtZTcwMTUyOTY3Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",N/A,5.0,"1,554",tt1272051,movie,N/A,"$14,408",N/A,N/A,True
The Counselor,2013,R,25 Oct 2013,117 min,"Action, Adventure, Crime",Ridley Scott,Cormac McCarthy,"Michael Fassbender, Penélope Cruz, Cameron Diaz",A lawyer finds himself in over his head when he gets involved in drug trafficking.,"English, Spanish, Dutch","United Kingdom, United States",5 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMTc3ODk0MTY0N15BMl5BanBnXkFtZTgwOTU2MTEzMDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48,5.4,"107,926",tt2193215,movie,N/A,"$16,973,715",N/A,N/A,True
Ironclad,2011,R,26 Jul 2011,121 min,"Action, Drama, History",Jonathan English,"Jonathan English, Erick Kastel, Stephen McDool","Paul Giamatti, Jason Flemyng, Brian Cox","In thirteenth-century England, a Knights Templar and a few of the Barons men fight to defend Rochester Castle against the tyrannical King John.","English, Hungarian, Latin, Danish","United Kingdom, Switzerland, United States, Germany",N/A,https://m.media-amazon.com/images/M/MV5BMjI1NTU2NTI5NV5BMl5BanBnXkFtZTcwNDYzOTI1NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,6.1,"44,074",tt1233301,movie,N/A,N/A,N/A,N/A,True
Waterloo,1970,G,29 Oct 1970,123 min,"Action, Biography, Drama",Sergey Bondarchuk,"H.A.L. Craig, Sergey Bondarchuk, Vittorio Bonicelli","Rod Steiger, Christopher Plummer, Orson Welles","Facing the decline of everything he has worked to obtain, conqueror Napoleon Bonaparte and his army confront the British at the Battle of Waterloo.",English,"Italy, Soviet Union",Won 2 BAFTA 3 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BZDQ0NGJjOWYtZDVlMC00ZTk0LWJiNTktYjVkOTYyMGNhNWUxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '30%'}]",N/A,7.3,"13,524",tt0066549,movie,N/A,N/A,N/A,N/A,True
Kung Fu Killer,2008,Not Rated,17 Aug 2008,176 min,Action,Philip Spink,"Jacqueline Feather, David Seidler, John Mandel","David Carradine, Daryl Hannah, Jimmy Taenaka",A Caucasian monk in Shanghai infiltrates the underworld to find the killers of his spiritual female Grandmaster.,English,"Canada, United States",2 nominations,https://m.media-amazon.com/images/M/MV5BMTcyNDAxNjA5NV5BMl5BanBnXkFtZTgwNDEyMjcwMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}]",N/A,4.8,871,tt1230545,movie,21 Jul 2015,N/A,Well Go USA,N/A,True
Blood Red Sky,2021,TV-MA,23 Jul 2021,121 min,"Action, Drama, Horror",Peter Thorwarth,"Peter Thorwarth, Stefan Holtz","Peri Baumeister, Carl Anton Koch, Alexander Scheer",A woman with a mysterious illness is forced into action when a group of terrorists attempt to hijack a transatlantic overnight flight.,"German, English, Arabic","Germany, United States",1 nomination total,https://m.media-amazon.com/images/M/MV5BMDE2YWFjNTUtZjkxOC00NDRhLTlkNDYtYmI2ZGRlYjE4MDJkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43,6.1,"57,796",tt6402468,movie,N/A,N/A,N/A,N/A,True
Dangerous Liaisons,1988,R,24 Feb 1989,119 min,"Drama, Romance",Stephen Frears,"Christopher Hampton, Choderlos de Laclos","Glenn Close, John Malkovich, Michelle Pfeiffer",A scheming widow and her manipulative ex-lover make a bet regarding the corruption of a recently married woman.,English,"United States, United Kingdom",Won 3 Oscars. 21 wins & 23 nominations total,https://m.media-amazon.com/images/M/MV5BYmJkMzZhNzktYjgyYi00N2ZjLTgxN2EtN2JhOGY1NTE3ZWY0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,7.5,"76,441",tt0094947,movie,N/A,"$34,670,720",N/A,N/A,True
On the Road,2012,R,23 May 2012,124 min,"Adventure, Drama, Romance",Walter Salles,"Jack Kerouac, Jose Rivera","Sam Riley, Garrett Hedlund, Kristen Stewart","Young writer Sal Paradise has his life shaken by the arrival of free-spirited Dean Moriarty and his girl, Marylou. As they travel across the country, they encounter a mix of people who each impact their journey indelibly.","English, French, Spanish","France, United States, United Kingdom, Mexico, Canada, Brazil, Argentina",2 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BMTc1MzU5MDgzMF5BMl5BanBnXkFtZTcwMDQ4ODY2OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '46%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,6.0,"43,662",tt0337692,movie,N/A,"$744,296",N/A,N/A,True
Star Trek IV: The Voyage Home,1986,PG,26 Nov 1986,119 min,"Adventure, Comedy, Sci-Fi",Leonard Nimoy,"Gene Roddenberry, Leonard Nimoy, Harve Bennett","William Shatner, Leonard Nimoy, DeForest Kelley","To save Earth from an alien probe, Admiral James T. Kirk and his fugitive crew go back in time to San Francisco in 1986 to retrieve the only beings who can communicate with it: humpback whales.","English, Finnish",United States,Nominated for 4 Oscars. 4 wins & 19 nominations total,https://m.media-amazon.com/images/M/MV5BYmZlYWYwMzUtMjYzMy00MWI1LTg3MDctOTdjYjA2MDkwNGU5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,7.3,"93,911",tt0092007,movie,N/A,"$109,713,132",N/A,N/A,True
Rocky Balboa,2006,PG,20 Dec 2006,102 min,"Drama, Sport",Sylvester Stallone,Sylvester Stallone,"Sylvester Stallone, Antonio Tarver, Milo Ventimiglia","Thirty years after the ring of the first bell, Rocky Balboa comes out of retirement and dons his gloves for his final fight against the reigning heavyweight champ Mason 'The Line' Dixon.","English, Spanish",United States,4 nominations total,https://m.media-amazon.com/images/M/MV5BMTM2OTUzNDE3NV5BMl5BanBnXkFtZTcwODczMzkzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63,7.1,"237,033",tt0479143,movie,N/A,"$70,270,943",N/A,N/A,True
Point Break,1991,R,12 Jul 1991,122 min,"Action, Crime, Thriller",Kathryn Bigelow,"Rick King, W. Peter Iliff","Patrick Swayze, Keanu Reeves, Gary Busey",An F.B.I. Agent goes undercover to catch a gang of surfers who may be bank robbers.,English,"United States, Japan",1 win & 2 nominations total,https://m.media-amazon.com/images/M/MV5BNTI3YzY3N2MtODI1OC00NmU0LThlMDYtNmFjMGFkNzhhNTRlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60,7.3,"212,989",tt0102685,movie,N/A,"$43,218,387",N/A,N/A,True
Scream 2,1997,R,12 Dec 1997,120 min,"Horror, Mystery",Wes Craven,Kevin Williamson,"Neve Campbell, Courteney Cox, David Arquette","Two years after the first series of murders, as Sidney acclimates to college life, someone donning the Ghostface costume begins a new string of killings.",English,United States,8 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BODE5YWJkMDMtN2ZiNC00MjI5LTkxYTgtOTkyZjUwMjU0YThiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62,6.3,"221,154",tt0120082,movie,N/A,"$101,363,301",N/A,N/A,True
Jane Got a Gun,2015,R,29 Jan 2016,98 min,"Action, Crime, Drama",Gavin O'Connor,"Brian Duffield, Anthony Tambakis, Joel Edgerton","Natalie Portman, Joel Edgerton, Ewan McGregor",A woman asks her ex-lover for help in order to save her outlaw husband from a gang out to kill him.,English,United States,1 nomination total,https://m.media-amazon.com/images/M/MV5BMTgwNDk0NDkwMl5BMl5BanBnXkFtZTgwNzYyNjA3NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,5.9,"24,614",tt2140037,movie,N/A,"$1,513,793",N/A,N/A,True
Think Like a Man Too,2014,PG-13,20 Jun 2014,106 min,"Comedy, Romance",Tim Story,"Keith Merryman, David A. Newman, Steve Harvey","Kevin Hart, Gabrielle Union, Wendi McLendon-Covey","All the couples are back for a wedding in Las Vegas, but plans for a romantic weekend go awry when their various misadventures get them into some compromising situations that threaten to derail the big event.",English,United States,2 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BMjE2NjMxNjU1OF5BMl5BanBnXkFtZTgwMTI1OTgxMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '23%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",38,5.7,"23,362",tt2239832,movie,N/A,"$65,182,182",N/A,N/A,True
The Whole Nine Yards,2000,R,18 Feb 2000,98 min,"Comedy, Crime",Jonathan Lynn,Mitchell Kapner,"Bruce Willis, Matthew Perry, Rosanna Arquette","A struggling dentist's life is turned upside down when a famous gangster moves in next door, and his wife convinces him to inform a notorious mob boss about the gangster's whereabouts.","English, French, Spanish",United States,6 nominations total,https://m.media-amazon.com/images/M/MV5BMjA4Nzk4NzU4MF5BMl5BanBnXkFtZTYwNzU0MDc3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '43%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,6.7,"132,057",tt0190138,movie,N/A,"$57,262,492",N/A,N/A,True
Footloose,1984,PG,17 Feb 1984,107 min,"Drama, Music, Romance",Herbert Ross,Dean Pitchford,"Kevin Bacon, Lori Singer, John Lithgow",A big city teenager moves to a small town where Rock and Roll music and dancing have been banned by backward local parents and his rebellious spirit shakes up the populace.,English,United States,Nominated for 2 Oscars. 2 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMmRjMzdkZDUtMDRkYi00ZjVkLWJlMjItMmY1MjgwOTQzMzYwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,6.6,"98,015",tt0087277,movie,N/A,"$80,035,402",N/A,N/A,True
Old School,2003,R,21 Feb 2003,88 min,Comedy,Todd Phillips,"Court Crandall, Todd Phillips, Scot Armstrong","Luke Wilson, Vince Vaughn, Will Ferrell",Three friends attempt to recapture their glory days by opening up a fraternity near their alma mater.,English,United States,5 nominations total,https://m.media-amazon.com/images/M/MV5BZGZiNGEwNjQtNTMzOS00NDI3LWI2ZWQtMGQwMjEzNjExZjNlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,7.0,"250,535",tt0302886,movie,N/A,"$75,585,093",N/A,N/A,True
The Fisher King,1991,R,27 Sep 1991,137 min,"Comedy, Drama, Fantasy",Terry Gilliam,Richard LaGravenese,"Jeff Bridges, Robin Williams, Adam Bryant","A former radio DJ, suicidally despondent because of a terrible mistake he made, finds redemption in helping a deranged homeless man who was an unwitting victim of that mistake.",English,United States,Won 1 Oscar. 14 wins & 39 nominations total,https://m.media-amazon.com/images/M/MV5BZTg2OGU4MmMtZThkZi00YjJjLTkwMjItMDMwYWE4NTA3NzRlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67,7.5,"92,806",tt0101889,movie,N/A,"$41,895,491",N/A,N/A,True
I Still Know What You Did Last Summer,1998,R,13 Nov 1998,100 min,"Horror, Mystery, Thriller",Danny Cannon,"Lois Duncan, Trey Callaway","Jennifer Love Hewitt, Freddie Prinze Jr., Brandy Norwood","The murderous fisherman with a hook is back to once again stalk the two surviving teens, Julie and Ray, who had left him for dead, as well as cause even more murder and mayhem, this time at a posh island resort.",English,"United States, Mexico",5 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BOTA2ZDVlNGMtNDFmZi00YjIzLWJmZGQtNzQwODJkY2YwNGE4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '7%'}, {'Source': 'Metacritic', 'Value': '21/100'}]",21,4.8,"81,882",tt0130018,movie,N/A,"$40,002,112",N/A,N/A,True
Return to Me,2000,PG,07 Apr 2000,115 min,"Comedy, Drama, Romance",Bonnie Hunt,"Bonnie Hunt, Don Lake, Andrew Stern","David Duchovny, Minnie Driver, Carroll O'Connor",A man who falls in love with the woman who received his wife's heart must decide which woman it is who holds his heart.,"English, Italian",United States,2 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BMjIwNDEzODU3Nl5BMl5BanBnXkFtZTcwMjI0NzU2NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,7.0,"23,559",tt0122459,movie,N/A,"$32,722,798",N/A,N/A,True
Zack and Miri Make a Porno,2008,R,31 Oct 2008,101 min,"Comedy, Romance",Kevin Smith,Kevin Smith,"Seth Rogen, Elizabeth Banks, Craig Robinson","Lifelong platonic friends Zack and Miri look to solve their respective cash-flow problems by making an adult film together. As the cameras roll, however, the duo begin to sense that they may have more feelings for each other than ...",English,United States,2 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ3OWYzMDItOTAzZC00OGVkLTg0MDMtMGNmM2E5MTZkYTY3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,6.5,"184,231",tt1007028,movie,N/A,"$31,457,946",N/A,N/A,True
Nurse Betty,2000,R,08 Sep 2000,110 min,"Comedy, Crime, Drama",Neil LaBute,"John C. Richards, James Flamberg","Renée Zellweger, Morgan Freeman, Chris Rock",Comedy about a widow's post-traumatic obsession with a soap star.,"English, Spanish, Italian","Germany, United States",5 wins & 14 nominations total,https://m.media-amazon.com/images/M/MV5BNmUwNWEwODEtOGYwNi00YzE4LTk3NjMtMGFjZDliMTliNmM4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,6.3,"36,536",tt0171580,movie,N/A,"$25,170,054",N/A,N/A,True
The Men Who Stare at Goats,2009,R,06 Nov 2009,94 min,"Comedy, War",Grant Heslov,"Jon Ronson, Peter Straughan","Ewan McGregor, George Clooney, Kevin Spacey","A reporter in Iraq might just have the story of a lifetime when he meets Lyn Cassady, a guy who claims to be a former member of the U.S. Army's New Earth Army, a unit that employs paranormal powers in their missions.","English, Arabic","United States, United Kingdom",1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BMjIwOTQwNzg1MV5BMl5BanBnXkFtZTcwODc4MDU4Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,6.2,"139,333",tt1234548,movie,N/A,"$32,428,195",N/A,N/A,True
Double Take,2001,PG-13,12 Jan 2001,88 min,"Action, Comedy, Crime",George Gallo,"Graham Greene, Guy Elmes, Denis Freeman","Orlando Jones, Eddie Griffin, Gary Grubbs","A man on the run takes another man's passport, only to find himself stuck with the identity of a street hustler.","English, Spanish",United States,N/A,https://m.media-amazon.com/images/M/MV5BOGNkMDU4ZTMtZmQ3NS00ZTdlLWEzOWUtOWJiY2FiNWNhMmE1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '12%'}, {'Source': 'Metacritic', 'Value': '25/100'}]",25,5.4,"8,838",tt0238948,movie,N/A,"$29,831,583",N/A,N/A,True
"Girl, Interrupted",1999,R,14 Jan 2000,127 min,"Biography, Drama",James Mangold,"Susanna Kaysen, James Mangold, Lisa Loomer","Winona Ryder, Angelina Jolie, Clea DuVall","A directionless teenager, Susanna, is rushed to Claymoore, a mental institution, after a supposed suicide attempt. There, she befriends a group of troubled women who deeply influence her life.",English,"United States, Germany",Won 1 Oscar. 9 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BZWVhYzdiMTQtMzJkMC00YWEwLTkyNDEtNzkwMGQ3NTBhMzExXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,7.3,"219,271",tt0172493,movie,N/A,"$28,912,646",N/A,N/A,True
Win a Date with Tad Hamilton!,2004,PG-13,23 Jan 2004,95 min,"Comedy, Romance",Robert Luketic,Victor Levin,"Kate Bosworth, Josh Duhamel, Topher Grace","A small-town girl wins a date with a male celebrity through a contest. When the date goes better than expected, a love triangle forms between the girl, the male celebrity, and the girl's best friend.",English,United States,8 nominations total,https://m.media-amazon.com/images/M/MV5BMTM0ODcyNjA4NF5BMl5BanBnXkFtZTcwMjM3NjQyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52,5.6,"29,970",tt0335559,movie,N/A,"$17,071,962",N/A,N/A,True
