0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Catch Me If You Can,2002,PG-13,25 Dec 2002,141 min,"Biography, Crime, Drama",Steven Spielberg,"Frank Abagnale Jr., Stan Redding, Jeff Nathanson","Leonardo DiCaprio, Tom Hanks, Christopher Walken","Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.","English, French","United States, Canada",Nominated for 2 Oscars. 16 wins & 46 nominations total,https://m.media-amazon.com/images/M/MV5BMTY5MzYzNjc5NV5BMl5BanBnXkFtZTYwNTUyNTc2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,8.1,"1,165,136",tt0264464,movie,N/A,"$164,615,351",N/A,N/A,True
Zero Dark Thirty,2012,R,11 Jan 2013,157 min,"Drama, History, Thriller",Kathryn Bigelow,Mark Boal,"Jessica Chastain, Joel Edgerton, Chris Pratt","A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011.","English, Arabic, Urdu, Pashtu, French","United States, India, Jordan",Won 1 Oscar. 85 wins & 174 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ4OTUyNzcwN15BMl5BanBnXkFtZTcwMTQ1NDE3OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '95/100'}]",95,7.4,"329,828",tt1790885,movie,N/A,"$95,720,716",N/A,N/A,True
The Break-Up,2006,PG-13,02 Jun 2006,106 min,"Comedy, Drama, Romance",Peyton Reed,"Jeremy Garelick, Jay Lavender, Vince Vaughn","Jennifer Aniston, Vince Vaughn, Jon Favreau",A couple's break-up proceeds to get uglier and nastier by the moment as each tries to keep their luxurious condo from the other.,English,United States,3 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BZTVhNTdkNmYtYWViNC00MjJjLWFjMjMtMmY1YzA1NzI3MzQ0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '34%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46,5.8,"142,163",tt0452594,movie,N/A,"$118,703,275",N/A,N/A,True
Mamma Mia!,2008,PG-13,18 Jul 2008,108 min,"Comedy, Musical, Romance",Phyllida Lloyd,Catherine Johnson,"Meryl Streep, Pierce Brosnan, Amanda Seyfried","Donna, an independent hotelier, is preparing for her daughter's wedding with the help of two old friends. Meanwhile Sophie, the spirited bride, has a plan. She invites three men from her mother's past in hope of meeting her real f...","English, Greek","United States, United Kingdom, Germany",Nominated for 3 BAFTA 16 wins & 27 nominations total,https://m.media-amazon.com/images/M/MV5BMTA2MDU0MjM0MzReQTJeQWpwZ15BbWU3MDYwNzgwNzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,6.5,"289,800",tt0795421,movie,N/A,"$144,330,569",N/A,N/A,True
Valentine's Day,2010,PG-13,12 Feb 2010,125 min,"Comedy, Romance",Garry Marshall,"Katherine Fugate, Abby Kohn, Marc Silverstein","Julia Roberts, Jamie Foxx, Anne Hathaway",Intertwining couples and singles in Los Angeles break-up and make-up based on the pressures and expectations of Valentine's Day.,"English, Spanish, Russian, Italian",United States,7 wins & 12 nominations total,https://m.media-amazon.com/images/M/MV5BMTk3MTIwNDIxNF5BMl5BanBnXkFtZTcwMDMyMzcwMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '18%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",34,5.8,"127,852",tt0817230,movie,N/A,"$110,528,528",N/A,N/A,True
The Dukes of Hazzard,2005,PG-13,05 Aug 2005,104 min,Comedy,Jay Chandrasekhar,"Gy Waldron, John O'Brien, Jonathan L. Davis","Seann William Scott, Johnny Knoxville, Jessica Simpson","Cousins Bo, Luke, and Daisy Duke, and their uncle Jesse, egg on the authorities of Hazzard County, Boss Hogg and Sheriff Coltrane.",English,United States,5 wins & 14 nominations total,https://m.media-amazon.com/images/M/MV5BMjAwOTYxODI4OV5BMl5BanBnXkFtZTcwNDYxODIzMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '14%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",33,5.1,"82,805",tt0377818,movie,N/A,"$80,270,227",N/A,N/A,True
The Thin Red Line,1998,R,15 Jan 1999,170 min,"Drama, History, War",Terrence Malick,"James Jones, Terrence Malick","Jim Caviezel, Sean Penn, Nick Nolte","Adaptation of James Jones' autobiographical 1962 novel, focusing on the conflict at Guadalcanal during the second World War.","English, Tok Pisin, Japanese, Greek",United States,Nominated for 7 Oscars. 23 wins & 47 nominations total,https://m.media-amazon.com/images/M/MV5BMzQ5NmViMDUtMjI1NC00ZWJkLTkwNzctMmIxZWY2MzQyZDc2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,7.6,"204,077",tt0120863,movie,N/A,"$36,400,491",N/A,N/A,True
The Change-Up,2011,R,05 Aug 2011,112 min,"Comedy, Fantasy",David Dobkin,"Jon Lucas, Scott Moore","Jason Bateman, Ryan Reynolds, Olivia Wilde","One fateful morning, family man Dave and bachelor Mitch wake up in each other's bodies as a result of a wish they made the previous evening.","English, Ukrainian",United States,1 nomination total,https://m.media-amazon.com/images/M/MV5BMTk3NTM4NDg3OF5BMl5BanBnXkFtZTcwNDk3MzEwNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",39,6.3,"200,962",tt1488555,movie,N/A,"$37,081,475",N/A,N/A,True
Man on the Moon,1999,R,22 Dec 1999,118 min,"Biography, Comedy, Drama",Milos Forman,"Scott Alexander, Larry Karaszewski","Jim Carrey, Danny DeVito, Gerry Becker",The life and career of legendary comedian Andy Kaufman.,English,"United Kingdom, Germany, Japan, United States",5 wins & 25 nominations total,https://m.media-amazon.com/images/M/MV5BYjQ1NmQ3MjItNGNiZC00OWFiLWFiYjktN2E5MzAzZDYwNjdhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58,7.4,"140,789",tt0125664,movie,N/A,"$34,607,430",N/A,N/A,True
Casino Royale,2006,PG-13,17 Nov 2006,144 min,"Action, Adventure, Thriller",Martin Campbell,"Neal Purvis, Robert Wade, Paul Haggis","Daniel Craig, Eva Green, Judi Dench","After earning a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, in Montenegro.","English, Serbian, German, Italian, French","United States, United Kingdom, Czech Republic, Germany, Bahamas",Won 1 BAFTA Award28 wins & 44 nominations total,https://m.media-amazon.com/images/M/MV5BMTM5MjI4NDExNF5BMl5BanBnXkFtZTcwMDM1MjMzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",80,8.0,"716,457",tt0381061,movie,N/A,"$167,445,960",N/A,N/A,True
From Paris with Love,2010,R,05 Feb 2010,92 min,"Action, Crime, Thriller",Pierre Morel,"Adi Hasak, Luc Besson","John Travolta, Jonathan Rhys Meyers, Kasia Smutniak","In Paris, a young employee in the office of the US Ambassador hooks up with an American spy looking to stop a terrorist attack in the city.","English, French, Mandarin, German","France, United Kingdom, United States",N/A,https://m.media-amazon.com/images/M/MV5BNThhNDcyYjktNTNkOC00NDFmLTkyMjAtNGU2NjYyY2ZlMjBhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '37%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,6.4,"124,234",tt1179034,movie,N/A,"$24,077,427",N/A,N/A,True
Bulletproof Monk,2003,PG-13,16 Apr 2003,104 min,"Action, Comedy, Fantasy",Paul Hunter,"Ethan Reiff, Cyrus Voris","Chow Yun-Fat, Seann William Scott, Jaime King","Based on the very underground comic book of the same name, a Tibetan monk becomes a mentor to a young street punk and tries teaching him how to protect the scroll of ultimate power from a secret Nazi organization bent on world dom...","English, Tibetan, Punjabi, German","United States, Canada",1 nomination total,https://m.media-amazon.com/images/M/MV5BMTEwODkxNzE4NzVeQTJeQWpwZ15BbWU3MDY5NDYwMzQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '23%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40,5.5,"52,829",tt0245803,movie,N/A,"$23,358,708",N/A,N/A,True
"Me, Myself & Irene",2000,R,23 Jun 2000,116 min,Comedy,"Bobby Farrelly, Peter Farrelly","Peter Farrelly, Mike Cerrone, Bobby Farrelly","Jim Carrey, Renée Zellweger, Anthony Anderson",A nice-guy cop with Dissociative Identity Disorder must protect a woman on the run from a corrupt ex-boyfriend and his associates.,"English, German",United States,2 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BZjEzYTdkMmUtN2Y3Mi00Mzc5LWJkYTUtYTY4NzUxZTU2NzExXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,6.6,"257,657",tt0183505,movie,N/A,"$90,570,999",N/A,N/A,True
Barnyard,2006,PG,04 Aug 2006,90 min,"Animation, Adventure, Comedy",Steve Oedekerk,Steve Oedekerk,"Kevin James, Courteney Cox, Danny Glover","When the farmer's away, all the animals play, and sing, and dance. Eventually, though, someone has to step in and run things, a responsibility that ends up going to Otis, a carefree cow.",English,"United States, Germany",3 nominations total,https://m.media-amazon.com/images/M/MV5BMTU2NDE0ODYyNF5BMl5BanBnXkFtZTcwNjQ3NzAzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '23%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,5.6,"35,719",tt0414853,movie,N/A,"$72,637,803",N/A,N/A,True
Deck the Halls,2006,PG,22 Nov 2006,93 min,"Comedy, Family",John Whitesell,"Matt Corman, Chris Ord, Don Rhymer","Matthew Broderick, Danny DeVito, Kristin Chenoweth",Two neighbors have it out after one of them decorates his house for the holidays so brightly that it can be seen from space.,"English, German",United States,1 win & 8 nominations total,https://m.media-amazon.com/images/M/MV5BMTIzNjA4OTM0OV5BMl5BanBnXkFtZTcwMDgwODkzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '6%'}, {'Source': 'Metacritic', 'Value': '28/100'}]",28,5.1,"36,325",tt0790604,movie,N/A,"$35,093,569",N/A,N/A,True
The Twilight Saga: New Moon,2009,PG-13,20 Nov 2009,130 min,"Adventure, Drama, Fantasy",Chris Weitz,"Melissa Rosenberg, Stephenie Meyer","Kristen Stewart, Robert Pattinson, Taylor Lautner","After Edward leaves because of an incident involving Bella, Jacob Black becomes her best friend. But what Bella doesn't realize is that Jacob also has a secret that will change their lives suddenly.","English, Italian",United States,23 wins & 24 nominations total,https://m.media-amazon.com/images/M/MV5BMTI3MjE3NDIxNF5BMl5BanBnXkFtZTcwODM3NTY5Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",44,4.8,"306,498",tt1259571,movie,N/A,"$297,816,253",N/A,N/A,True
Shrek,2001,PG,18 May 2001,90 min,"Animation, Adventure, Comedy","Andrew Adamson, Vicky Jenson","William Steig, Ted Elliott, Terry Rossio","Mike Myers, Eddie Murphy, Cameron Diaz","A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",English,United States,Won 1 Oscar. 40 wins & 60 nominations total,https://m.media-amazon.com/images/M/MV5BN2FkMTRkNTUtYTI0NC00ZjI4LWI5MzUtMDFmOGY0NmU2OGY1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",84,7.9,"763,726",tt0126029,movie,N/A,"$268,698,241",N/A,N/A,True
The Adjustment Bureau,2011,PG-13,04 Mar 2011,106 min,"Crime, Drama, Mystery",George Nolfi,"George Nolfi, Philip K. Dick","Matt Damon, Emily Blunt, Lisa Thoreson",The relationship between a politician and a contemporary dancer is affected by mysterious forces keeping them apart.,English,United States,1 win & 9 nominations total,https://m.media-amazon.com/images/M/MV5BMTU3ODg3MDAxMl5BMl5BanBnXkFtZTcwMjc0MDMzNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60,7.0,"276,956",tt1385826,movie,N/A,"$62,495,645",N/A,N/A,True
Robin Hood: Prince of Thieves,1991,PG-13,14 Jun 1991,143 min,"Action, Adventure, Drama",Kevin Reynolds,"Pen Densham, John Watson","Kevin Costner, Morgan Freeman, Mary Elizabeth Mastrantonio",Robin Hood decides to fight back as an outlaw when faced with the tyranny of the Sheriff of Nottingham.,"English, Arabic",United States,Nominated for 1 Oscar. 16 wins & 25 nominations total,https://m.media-amazon.com/images/M/MV5BNTUyMjA5NDktNWY5Ny00ZWU4LWE4Y2ItMDYzZTk0NzU3ZWMyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,6.9,"215,774",tt0102798,movie,N/A,"$165,493,908",N/A,N/A,True
Jerry Maguire,1996,R,13 Dec 1996,139 min,"Comedy, Drama, Romance",Cameron Crowe,Cameron Crowe,"Tom Cruise, Cuba Gooding Jr., Renée Zellweger","When a sports agent has a moral epiphany and is fired for expressing it, he decides to put his new philosophy to the test as an independent agent with the only athlete who stays with him and his former colleague.","English, American Sign ",United States,Won 1 Oscar. 26 wins & 41 nominations total,https://m.media-amazon.com/images/M/MV5BM2E1ZjU1MjctZjU2Yi00MGE1LWI1MDEtYzBlMWJlNDc1NTQxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",77,7.3,"298,060",tt0116695,movie,N/A,"$153,952,592",N/A,N/A,True
Ted,2012,R,29 Jun 2012,106 min,Comedy,Seth MacFarlane,"Seth MacFarlane, Alec Sulkin, Wellesley Wild","Mark Wahlberg, Mila Kunis, Seth MacFarlane","John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear, Ted or his girlfriend, Lori.","English, Japanese, Ukrainian",United States,Nominated for 1 Oscar. 13 wins & 28 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ1OTU0ODcxMV5BMl5BanBnXkFtZTcwOTMxNTUwOA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62,6.9,"674,593",tt1637725,movie,N/A,"$218,815,487",N/A,N/A,True
As Good as It Gets,1997,PG-13,25 Dec 1997,139 min,"Comedy, Drama, Romance",James L. Brooks,"Mark Andrus, James L. Brooks","Jack Nicholson, Helen Hunt, Greg Kinnear","A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery.",English,United States,Won 2 Oscars. 38 wins & 54 nominations total,https://m.media-amazon.com/images/M/MV5BMzBiMWJhYmQtOWYzNS00NjgxLWE5NDItNzZlZDQwODBmODNjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67,7.7,"327,033",tt0119822,movie,N/A,"$148,478,011",N/A,N/A,True
Patch Adams,1998,PG-13,25 Dec 1998,115 min,"Biography, Comedy, Drama",Tom Shadyac,"Patch Adams, Maureen Mylander, Steve Oedekerk","Robin Williams, Daniel London, Monica Potter","The true story of the heroic Hunter ""Patch"" Adams who's determined to become a medical doctor because of his desire to help other people. He ventures where no doctor ever ventured before utilizing humor and pathos.",English,United States,Nominated for 1 Oscar. 1 win & 7 nominations total,https://m.media-amazon.com/images/M/MV5BYjEwMTJhMDktZDFjZi00MzQ5LTg0NWMtMDlhNmNiYWRkMDk1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}, {'Source': 'Metacritic', 'Value': '26/100'}]",26,6.8,"126,130",tt0129290,movie,N/A,"$135,026,902",N/A,N/A,True
Anchorman 2: The Legend Continues,2013,PG-13,18 Dec 2013,119 min,Comedy,Adam McKay,"Will Ferrell, Adam McKay","Will Ferrell, Christina Applegate, Paul Rudd","With the 1970s behind him, Ron Burgundy, San Diego's former top-rated newsreader, returns to take New York City's first twenty-four-hour news channel by storm.",English,United States,1 win & 23 nominations total,https://m.media-amazon.com/images/M/MV5BMjE5ODk0NjQzNV5BMl5BanBnXkFtZTgwODk4MDA1MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61,6.3,"197,392",tt1229340,movie,N/A,"$127,352,707",N/A,N/A,True
Super 8,2011,PG-13,10 Jun 2011,112 min,"Action, Sci-Fi, Thriller",J.J. Abrams,J.J. Abrams,"Elle Fanning, AJ Michalka, Kyle Chandler","During the summer of 1979, a group of friends witness a train crash and investigate subsequent unexplained events in their small town.",English,United States,11 wins & 71 nominations total,https://m.media-amazon.com/images/M/MV5BMjIzNjEyMzcwOF5BMl5BanBnXkFtZTcwMTkyMjE0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,7.0,"374,044",tt1650062,movie,N/A,"$127,004,179",N/A,N/A,True
